2026-07-29 20:07:39,glim,65.09%,297MiB / 30.66GiB,0.95%,0B / 0B,139kB / 11.6MB,37
2026-07-29 20:07:39,nav2,12.50%,127.5MiB / 30.66GiB,0.41%,0B / 0B,0B / 1.16MB,92
2026-07-29 20:07:42,scovox,0.12%,57.9MiB / 30.66GiB,0.18%,0B / 0B,0B / 176kB,40
2026-07-29 20:07:42,docker-recorder-run-d28519123b03,0.00%,10.31MiB / 30.66GiB,0.03%,0B / 0B,0B / 9.45MB,1
2026-07-29 20:07:42,ouster,6.15%,116.9MiB / 30.66GiB,0.37%,0B / 0B,0B / 2.85MB,29
2026-07-29 20:07:42,mapir-ffmpeg,29.39%,165.7MiB / 30.66GiB,0.53%,0B / 0B,0B / 1.28MB,33
2026-07-29 20:07:42,openzen,5.25%,31.89MiB / 30.66GiB,0.10%,0B / 0B,0B / 2.15MB,20
2026-07-29 20:07:42,trav_ros2,112.99%,401.5MiB / 30.66GiB,1.28%,0B / 0B,0B / 1.58MB,44
2026-07-29 20:07:42,realsense,29.30%,92.02MiB / 30.66GiB,0.29%,0B / 0B,0B / 3.2MB,33
2026-07-29 20:07:42,glim,72.03%,302MiB / 30.66GiB,0.96%,0B / 0B,139kB / 11.6MB,37
2026-07-29 20:07:42,nav2,13.62%,128.5MiB / 30.66GiB,0.41%,0B / 0B,0B / 1.16MB,92
2026-07-29 20:07:45,docker-recorder-run-d28519123b03,0.00%,10.31MiB / 30.66GiB,0.03%,0B / 0B,0B / 9.45MB,1
2026-07-29 20:07:45,ouster,7.14%,117MiB / 30.66GiB,0.37%,0B / 0B,0B / 2.85MB,29
2026-07-29 20:07:45,mapir-ffmpeg,44.64%,165.7MiB / 30.66GiB,0.53%,0B / 0B,0B / 1.29MB,33
2026-07-29 20:07:45,openzen,4.06%,31.4MiB / 30.66GiB,0.10%,0B / 0B,0B / 2.15MB,20
2026-07-29 20:07:45,trav_ros2,114.45%,401.4MiB / 30.66GiB,1.28%,0B / 0B,0B / 1.58MB,44
2026-07-29 20:07:45,realsense,29.94%,92.02MiB / 30.66GiB,0.29%,0B / 0B,0B / 3.2MB,33
2026-07-29 20:07:45,glim,85.61%,308.9MiB / 30.66GiB,0.98%,0B / 0B,139kB / 11.6MB,37
2026-07-29 20:07:45,nav2,12.50%,128.1MiB / 30.66GiB,0.41%,0B / 0B,0B / 1.16MB,92
2026-07-29 20:07:49,docker-recorder-run-d28519123b03,0.00%,10.31MiB / 30.66GiB,0.03%,0B / 0B,0B / 9.45MB,1
2026-07-29 20:07:49,ouster,18.72%,117.9MiB / 30.66GiB,0.38%,0B / 0B,0B / 2.85MB,29
2026-07-29 20:07:49,mapir-ffmpeg,30.72%,167.3MiB / 30.66GiB,0.53%,0B / 0B,0B / 1.29MB,33
2026-07-29 20:07:49,openzen,5.90%,32.18MiB / 30.66GiB,0.10%,0B / 0B,0B / 2.15MB,20
2026-07-29 20:07:49,trav_ros2,115.31%,396.5MiB / 30.66GiB,1.26%,0B / 0B,0B / 1.59MB,44
2026-07-29 20:07:49,realsense,21.60%,91.79MiB / 30.66GiB,0.29%,0B / 0B,0B / 3.2MB,33
2026-07-29 20:07:49,glim,62.79%,312.6MiB / 30.66GiB,1.00%,0B / 0B,139kB / 11.6MB,37
2026-07-29 20:07:49,nav2,12.40%,128.6MiB / 30.66GiB,0.41%,0B / 0B,0B / 1.16MB,92
2026-07-29 20:07:52,docker-recorder-run-d28519123b03,0.00%,10.31MiB / 30.66GiB,0.03%,0B / 0B,0B / 9.45MB,1
2026-07-29 20:07:52,ouster,6.39%,117MiB / 30.66GiB,0.37%,0B / 0B,0B / 2.85MB,29
2026-07-29 20:07:52,mapir-ffmpeg,29.63%,166.3MiB / 30.66GiB,0.53%,0B / 0B,0B / 1.29MB,33
2026-07-29 20:07:52,openzen,5.02%,31.69MiB / 30.66GiB,0.10%,0B / 0B,0B / 2.15MB,20
2026-07-29 20:07:52,trav_ros2,113.31%,401.6MiB / 30.66GiB,1.28%,0B / 0B,0B / 1.59MB,44
2026-07-29 20:07:52,realsense,20.41%,91.85MiB / 30.66GiB,0.29%,0B / 0B,0B / 3.2MB,33
2026-07-29 20:07:52,glim,75.05%,314.6MiB / 30.66GiB,1.00%,0B / 0B,139kB / 11.6MB,37
2026-07-29 20:07:52,nav2,14.52%,128.3MiB / 30.66GiB,0.41%,0B / 0B,0B / 1.16MB,92
2026-07-29 20:07:55,docker-recorder-run-d28519123b03,0.00%,10.31MiB / 30.66GiB,0.03%,0B / 0B,0B / 9.45MB,1
2026-07-29 20:07:55,ouster,6.52%,117.2MiB / 30.66GiB,0.37%,0B / 0B,0B / 2.85MB,29
2026-07-29 20:07:55,mapir-ffmpeg,41.72%,165.9MiB / 30.66GiB,0.53%,0B / 0B,0B / 1.29MB,33
2026-07-29 20:07:55,openzen,4.62%,31.47MiB / 30.66GiB,0.10%,0B / 0B,0B / 2.15MB,20
2026-07-29 20:07:55,trav_ros2,113.30%,397.2MiB / 30.66GiB,1.26%,0B / 0B,0B / 1.59MB,44
2026-07-29 20:07:55,realsense,20.75%,92.59MiB / 30.66GiB,0.29%,0B / 0B,0B / 3.2MB,33
2026-07-29 20:07:55,glim,77.36%,316MiB / 30.66GiB,1.01%,0B / 0B,139kB / 11.6MB,37
2026-07-29 20:07:55,nav2,11.97%,129.6MiB / 30.66GiB,0.41%,0B / 0B,0B / 1.16MB,92
2026-07-29 20:07:58,docker-recorder-run-d28519123b03,0.00%,10.31MiB / 30.66GiB,0.03%,0B / 0B,0B / 9.45MB,1
2026-07-29 20:07:58,ouster,10.07%,118.2MiB / 30.66GiB,0.38%,0B / 0B,0B / 2.85MB,29
2026-07-29 20:07:58,mapir-ffmpeg,33.67%,167.4MiB / 30.66GiB,0.53%,0B / 0B,0B / 1.29MB,33
2026-07-29 20:07:58,openzen,6.64%,32.4MiB / 30.66GiB,0.10%,0B / 0B,0B / 2.15MB,20
2026-07-29 20:07:58,trav_ros2,116.22%,406.1MiB / 30.66GiB,1.29%,0B / 0B,0B / 1.59MB,44
2026-07-29 20:07:58,realsense,22.16%,92.09MiB / 30.66GiB,0.29%,0B / 0B,0B / 3.2MB,33
2026-07-29 20:07:58,glim,78.57%,316.4MiB / 30.66GiB,1.01%,0B / 0B,139kB / 11.6MB,37
2026-07-29 20:07:58,nav2,13.03%,129MiB / 30.66GiB,0.41%,0B / 0B,0B / 1.16MB,92
2026-07-29 20:07:58,scovox,168.84%,84.95MiB / 30.66GiB,0.27%,0B / 0B,156kB / 28.7kB,53
2026-07-29 20:08:01,scovox,66.00%,147.1MiB / 30.66GiB,0.47%,0B / 0B,180kB / 28.7kB,53
2026-07-29 20:08:01,docker-recorder-run-d28519123b03,0.00%,10.31MiB / 30.66GiB,0.03%,0B / 0B,0B / 9.45MB,1
2026-07-29 20:08:01,ouster,10.50%,117.3MiB / 30.66GiB,0.37%,0B / 0B,0B / 2.85MB,29
2026-07-29 20:08:01,mapir-ffmpeg,39.26%,166.3MiB / 30.66GiB,0.53%,0B / 0B,0B / 1.29MB,33
2026-07-29 20:08:01,openzen,5.01%,31.68MiB / 30.66GiB,0.10%,0B / 0B,0B / 2.15MB,20
2026-07-29 20:08:01,trav_ros2,117.58%,408MiB / 30.66GiB,1.30%,0B / 0B,0B / 1.59MB,44
2026-07-29 20:08:01,realsense,42.94%,92.1MiB / 30.66GiB,0.29%,0B / 0B,0B / 3.2MB,33
2026-07-29 20:08:01,glim,61.23%,316.4MiB / 30.66GiB,1.01%,0B / 0B,139kB / 11.6MB,37
2026-07-29 20:08:01,nav2,11.78%,129.8MiB / 30.66GiB,0.41%,0B / 0B,0B / 1.16MB,92
2026-07-29 20:08:04,docker-recorder-run-d28519123b03,0.00%,10.31MiB / 30.66GiB,0.03%,0B / 0B,0B / 9.45MB,1
2026-07-29 20:08:04,ouster,7.27%,117.8MiB / 30.66GiB,0.38%,0B / 0B,0B / 2.85MB,29
2026-07-29 20:08:04,mapir-ffmpeg,29.32%,167MiB / 30.66GiB,0.53%,0B / 0B,0B / 1.29MB,33
2026-07-29 20:08:04,openzen,5.23%,32.94MiB / 30.66GiB,0.10%,0B / 0B,0B / 2.15MB,20
2026-07-29 20:08:04,trav_ros2,114.65%,398.3MiB / 30.66GiB,1.27%,0B / 0B,0B / 1.61MB,44
2026-07-29 20:08:04,realsense,39.00%,91.86MiB / 30.66GiB,0.29%,0B / 0B,0B / 3.2MB,33
2026-07-29 20:08:04,glim,73.14%,316.9MiB / 30.66GiB,1.01%,0B / 0B,139kB / 11.6MB,37
2026-07-29 20:08:04,nav2,12.64%,129.8MiB / 30.66GiB,0.41%,0B / 0B,0B / 1.16MB,92
2026-07-29 20:08:07,docker-recorder-run-d28519123b03,0.00%,10.31MiB / 30.66GiB,0.03%,0B / 0B,0B / 9.45MB,1
2026-07-29 20:08:07,ouster,8.20%,117.3MiB / 30.66GiB,0.37%,0B / 0B,0B / 2.85MB,29
2026-07-29 20:08:07,mapir-ffmpeg,45.19%,166.6MiB / 30.66GiB,0.53%,0B / 0B,0B / 1.29MB,33
2026-07-29 20:08:07,openzen,6.37%,31.98MiB / 30.66GiB,0.10%,0B / 0B,0B / 2.15MB,20
2026-07-29 20:08:07,trav_ros2,114.24%,403.1MiB / 30.66GiB,1.28%,0B / 0B,0B / 1.61MB,44
2026-07-29 20:08:07,realsense,35.99%,92.39MiB / 30.66GiB,0.29%,0B / 0B,0B / 3.2MB,33
2026-07-29 20:08:07,glim,68.60%,329.1MiB / 30.66GiB,1.05%,0B / 0B,139kB / 11.6MB,37
2026-07-29 20:08:07,nav2,16.06%,130.1MiB / 30.66GiB,0.41%,0B / 0B,0B / 1.16MB,92
2026-07-29 20:08:10,docker-recorder-run-d28519123b03,0.00%,10.31MiB / 30.66GiB,0.03%,0B / 0B,0B / 9.45MB,1
2026-07-29 20:08:10,ouster,6.25%,117.7MiB / 30.66GiB,0.37%,0B / 0B,0B / 2.85MB,29
2026-07-29 20:08:10,mapir-ffmpeg,29.51%,166.4MiB / 30.66GiB,0.53%,0B / 0B,0B / 1.29MB,33
2026-07-29 20:08:10,openzen,4.54%,31.75MiB / 30.66GiB,0.10%,0B / 0B,0B / 2.15MB,20
2026-07-29 20:08:10,trav_ros2,113.93%,407.8MiB / 30.66GiB,1.30%,0B / 0B,0B / 1.61MB,44
2026-07-29 20:08:10,realsense,39.74%,92.39MiB / 30.66GiB,0.29%,0B / 0B,0B / 3.2MB,33
2026-07-29 20:08:10,glim,65.16%,341.1MiB / 30.66GiB,1.09%,0B / 0B,139kB / 11.6MB,37
2026-07-29 20:08:10,nav2,13.18%,129.6MiB / 30.66GiB,0.41%,0B / 0B,0B / 1.16MB,92
2026-07-29 20:08:13,docker-recorder-run-d28519123b03,0.00%,10.31MiB / 30.66GiB,0.03%,0B / 0B,0B / 9.45MB,1
